Timestamp,Angkatan,Program Studi,Jenis Kelamin,Berapa rata-rata jam tidur Anda dalam sehari (24 jam) selama seminggu terakhir? ,"Biasanya, jam berapa Anda mulai tidur malam?",Apakah Anda merasa waktu tidur Anda sudah cukup/berkualitas?,Berapa Indeks Prestasi Kumulatif (IPK) terakhir Anda?  ,Apa aktivitas utama yang membuat Anda sering begadang/kurang tidur?  ,Seberapa sering Anda merasa mengantuk atau sulit fokus saat kuliah berlangsung?  
12/8/2025 8:19:42,2024,Manajemen,Pria,6,00.00 - 02.00,Tidak,3.6,"Mengerjakan Tugas Kuliah / Laporan, Bekerja / Freelance, Insomnia / Susah Tidur",2
12/8/2025 8:54:22,2023,Teknik Perminyakan,Pria,7,22.00 - 00.00,Ya,3.38,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",2
12/8/2025 10:12:05,2023,Teknik Geologi,Wanita,5,00.00 - 02.00,Tidak,3.5,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",2
12/8/2025 10:19:16,2024,Teknik Perminyakan,Pria,4,00.00 - 02.00,Tidak,3.48,Mengerjakan Tugas Kuliah / Laporan,3
12/8/2025 10:49:48,2024,Teknik Lingkungan,Wanita,4,00.00 - 02.00,Tidak,3.7,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Insomnia / Susah Tidur",4
12/8/2025 12:45:29,2024,Teknik Geologi,Pria,5,00.00 - 02.00,Tidak,3,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Bekerja / Freelance, Insomnia / Susah Tidur",4
12/8/2025 15:46:44,2024,Komunikasi,Wanita,8.5,00.00 - 02.00,Tidak,3.2,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",3
12/8/2025 18:57:51,2024,Teknik Mesin,Pria,5,Di atas jam 02.00 pagi,Tidak,3.8,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",1
,,,,,,,,,
12/8/2025 18:58:19,2023,Manajemen,Pria,8,22.00 - 00.00,Ya,3.86,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Scroll Media Sosial (TikTok/IG/Twitter), Bekerja / Freelance",1
12/8/2025 18:59:15,2023,Ekonomi,Pria,5,22.00 - 00.00,Ya,3.96,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter)",2
12/8/2025 19:01:51,2023,Kimia,Pria,4,00.00 - 02.00,Tidak,3.43,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",4
12/8/2025 19:02:25,2024,Teknik Mesin,Pria,8,22.00 - 00.00,Ya,3.32,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri",1
12/8/2025 19:09:04,2024,Kimia,Pria,5,00.00 - 02.00,Tidak,3.49,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Insomnia / Susah Tidur",4
12/8/2025 19:13:29,2024,Ekonomi,Pria,4,Di atas jam 02.00 pagi,Tidak,2.58,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",5
12/8/2025 19:17:04,2024,Teknik Perminyakan,Wanita,5,Di atas jam 02.00 pagi,Tidak,4,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Insomnia / Susah Tidur",5
12/8/2025 19:18:22,2024,Manajemen,Pria,6.5,22.00 - 00.00,Ya,3.79,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",1
12/8/2025 19:20:07,2024,Teknik Perminyakan,Pria,7,22.00 - 00.00,Ya,3.9,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri",2
12/8/2025 19:31:39,2024,Teknik Perminyakan,Wanita,6,22.00 - 00.00,Tidak,3.89,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",4
12/8/2025 21:07:09,2023,Teknik Lingkungan,Pria,10,00.00 - 02.00,Ya,3.5,"Belajar Mandiri, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter)",2
12/8/2025 22:09:31,2024,Teknik Lingkungan,Wanita,3,Di atas jam 02.00 pagi,Tidak,3.74,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Insomnia / Susah Tidur",5
12/10/2025 10:38:06,2024,Ilmu Komputer,Pria,6,22.00 - 00.00,Ya,3.7,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Organisasi / Kepanitiaan",2
12/10/2025 10:39:55,2023,Ilmu Komputer,Pria,7,00.00 - 02.00,Tidak,2.7,Bermain Game,3
12/10/2025 10:41:40,2023,Ilmu Komputer,Pria,7,Sebelum jam 22.00,Ya,3.6,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Bekerja / Freelance, Insomnia / Susah Tidur",1
12/10/2025 10:59:03,2022,Ilmu Komputer,Wanita,6,00.00 - 02.00,Tidak,3,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Bekerja / Freelance",3
12/10/2025 11:52:34,2023,Ilmu Komputer,Wanita,6.5,22.00 - 00.00,Ya,3.73,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter)",3
12/12/2025 6:48:55,2021,Teknik Perminyakan,Pria,6,22.00 - 00.00,Ya,3.65,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Organisasi / Kepanitiaan",2
12/12/2025 8:39:11,2021,Teknik Geofisika,Pria,6.5,22.00 - 00.00,Ya,3.1,Organisasi / Kepanitiaan,2
12/12/2025 11:57:31,2021,Teknik Elektro,Wanita,5,22.00 - 00.00,Tidak,3.4,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Bekerja / Freelance, Insomnia / Susah Tidur",4
12/12/2025 12:31:00,2024,Teknik Lingkungan,Pria,12,Sebelum jam 22.00,Tidak,2.8,Insomnia / Susah Tidur,2
,,,,,,,,,
12/12/2025 19:23:31,2024,Manajemen,Pria,6,22.00 - 00.00,Tidak,3.68,Bekerja / Freelance,3
12/12/2025 21:01:53,2023,Ilmu Komputer,Pria,8,00.00 - 02.00,Tidak,3.3,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Bekerja / Freelance",2
12/12/2025 21:09:04,2022,Ilmu Komputer,Pria,6.5,22.00 - 00.00,Tidak,3.65,"Belajar Mandiri, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Bekerja / Freelance, Insomnia / Susah Tidur",3
12/15/2025 10:39:11,2024,Teknik Lingkungan,Wanita,8,00.00 - 02.00,Tidak,3.2,Mengerjakan Tugas Kuliah / Laporan,4
12/15/2025 14:13:43,2024,Teknik Perminyakan,Pria,5,Di atas jam 02.00 pagi,Tidak,3.76,Bekerja / Freelance,5
12/16/2025 21:11:32,2023,Teknik Logistik,Pria,8,Sebelum jam 22.00,Ya,3.82,"Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter)",3
12/16/2025 21:30:49,2023,Ilmu Komputer,Pria,7,22.00 - 00.00,Ya,3.14,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter)",4
12/17/2025 15:48:25,2023,Teknik Kimia,Wanita,5,00.00 - 02.00,Tidak,2.43,"Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",4
12/17/2025 22:25:35,2022,Teknik Geologi,Pria,3.5,Di atas jam 02.00 pagi,Tidak,3.49,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri",2
12/17/2025 22:36:13,2024,Teknik Perminyakan,Wanita,6,00.00 - 02.00,Tidak,3.6,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Insomnia / Susah Tidur",3
12/17/2025 23:14:56,2024,Manajemen,Pria,7,00.00 - 02.00,Ya,3.9,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Organisasi / Kepanitiaan",3
12/18/2025 15:38:32,2024,Teknik Mesin,Pria,3,Di atas jam 02.00 pagi,Tidak,2.96,"Mengerjakan Tugas Kuliah / Laporan, Organisasi / Kepanitiaan",3
12/19/2025 20:55:03,2024,Kimia,Wanita,6,22.00 - 00.00,Ya,3.99,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Organisasi / Kepanitiaan",2
12/19/2025 21:02:23,2022,Komunikasi,Wanita,6,22.00 - 00.00,Tidak,3.65,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter)",2
12/19/2025 21:08:25,2022,Teknik Lingkungan,Wanita,8,22.00 - 00.00,Ya,3.28,Mengerjakan Tugas Kuliah / Laporan,3
12/19/2025 22:36:14,2023,Komunikasi,Wanita,6,22.00 - 00.00,Tidak,3.9,"Belajar Mandiri, Organisasi / Kepanitiaan",2
12/21/2025 21:35:08,2024,Manajemen,Pria,6,22.00 - 00.00,Ya,3.18,Scroll Media Sosial (TikTok/IG/Twitter),3
12/22/2025 9:14:04,2023,Teknik Mesin,Pria,6,22.00 - 00.00,Tidak,2.6,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter)",4
12/22/2025 9:35:24,2023,Teknik Perminyakan,Wanita,6,22.00 - 00.00,Tidak,2.9,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter)",3
12/22/2025 11:00:57,2023,Teknik Perminyakan,Pria,6,00.00 - 02.00,Ya,3.45,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",3
12/22/2025 13:08:04,2023,Teknik Sipil,Pria,6,00.00 - 02.00,Tidak,3.3,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",3
